step,time,soc,p_bess,p_grid,p_pv,p_load,energy_cost,reward,test_day
105,2007-01-04 08:45:00,0.1,-0.0,1.199760118374242,0.41570106278037,1.6154611811546118,0.03999200394580807,-0.03999200394580807,19
106,2007-01-04 08:50:00,0.1,-0.0,1.108262446354802,0.4920195708980175,1.6002820172528196,0.036942081545160065,-0.036942081545160065,19
107,2007-01-04 08:55:00,0.1,-0.0,0.9881483177991984,0.568338079015665,1.5564863968148634,0.03293827725997328,-0.03293827725997328,19
108,2007-01-04 09:00:00,0.1,-0.0,1.1641589835788742,0.7282597290953132,1.8924187126741874,0.038805299452629144,-0.038805299452629144,19
109,2007-01-04 09:05:00,0.1,-0.0,1.3643070083499222,0.8881813791749615,2.252488387524884,0.04547690027833074,-0.04547690027833074,19
110,2007-01-04 09:10:00,0.1,-0.0,1.2325041373014614,1.04810302925461,2.2806071665560714,0.04108347124338205,-0.04108347124338205,19
111,2007-01-04 09:15:00,0.1,-0.0,1.0295290909543544,1.2232081353230178,2.252737226277372,0.03431763636514514,-0.03431763636514514,19
112,2007-01-04 09:20:00,0.1,-0.0,0.09894953233120196,1.3983132413914254,1.4972627737226274,0.0032983177443733983,-0.0032983177443733983,19
113,2007-01-04 09:25:00,0.1,-0.0,-0.32698503624550046,1.5734183474598333,1.2464333112143329,0.0,0.0,19
114,2007-01-04 09:30:00,0.1,-0.0,-0.1734547796466488,1.4054554432166553,1.2320006635700065,0.0,0.0,19
115,2007-01-04 09:35:00,0.1,-0.0,-0.055010787148660034,1.2374925389734774,1.1824817518248174,0.0,0.0,19
116,2007-01-04 09:40:00,0.1,-0.0,0.2605134973201315,1.0695296347302994,1.330043132050431,0.008683783244004385,-0.008683783244004385,19
117,2007-01-04 09:45:00,0.1,-0.0,0.2910140413759894,1.1082062638662133,1.3992203052422028,0.009700468045866315,-0.009700468045866315,19
118,2007-01-04 09:50:00,0.1,-0.0,0.2657747048744483,1.1468828930021275,1.4126575978765759,0.008859156829148276,-0.008859156829148276,19
119,2007-01-04 09:55:00,0.10615781906563208,0.5277866721153259,0.7036239648412526,1.1855595221380415,1.3613968148639681,0.023454132161375086,-0.023454132161375086,19
120,2007-01-04 10:00:00,0.10475656853855167,-0.058849579511270234,0.0,1.1783766978609924,1.2372262773722627,0.0,0.0,19
121,2007-01-04 10:05:00,0.10952078636322388,0.40834110975265503,0.36936355999087467,1.1711938735839436,1.1322163238221632,0.01231211866636249,-0.007547900841690283,19
122,2007-01-04 10:10:00,0.11400975395786418,0.3847494125366211,0.34598720198221455,1.1640110493068947,1.1252488387524882,0.011532906732740485,-0.00704393913810018,19
123,2007-01-04 10:15:00,0.11400975395786418,-0.0,-0.06635505184278245,1.1781665979608977,1.1118115461181153,0.0,0.0,19
124,2007-01-04 10:20:00,0.11400975395786418,-0.0,-0.10788286327050756,1.1923221466149005,1.084439283344393,0.0,0.0,19
125,2007-01-04 10:25:00,0.12217682897828187,0.7,0.6093152708890257,1.2064776952689036,1.1157929661579293,0.02031050902963419,-0.012143434009216497,19
126,2007-01-04 10:30:00,0.12217682897828187,-0.0,-0.15581807905944278,1.2790762077920235,1.1232581287325807,0.0,0.0,19
127,2007-01-04 10:35:00,0.12217682897828187,-0.0,-0.2513097568114937,1.3516747203151434,1.1003649635036497,0.0,0.0,19
128,2007-01-04 10:40:00,0.12217682897828187,-0.0,-0.29778020032333385,1.4242732328382637,1.1264930325149298,0.0,0.0,19
129,2007-01-04 10:45:00,0.12380742318264165,0.13975822925567627,-0.1672393361320561,1.457130279389059,1.1501327140013267,0.0,0.0016305942043597782,19
130,2007-01-04 10:50:00,0.12540281232881556,0.1367408037185669,-0.200376581942588,1.4899873259398542,1.1528699402786993,0.0,0.001595389146173909,19
131,2007-01-04 10:55:00,0.12540281232881556,-0.0,-0.3839094023513001,1.5228443724906495,1.1389349701393494,0.0,0.0,19
132,2007-01-04 11:00:00,0.12540281232881556,-0.0,-0.3639984809155665,1.4782984145585654,1.1142999336429988,0.0,0.0,19
133,2007-01-04 11:05:00,0.12540281232881556,-0.0,-0.3308991055979478,1.4337524566264812,1.1028533510285334,0.0,0.0,19
134,2007-01-04 11:10:00,0.13111289835464954,0.48941147327423096,0.2242096195698804,1.389206498694397,1.1240046449900465,0.007473653985662679,-0.0017635679598287024,19
135,2007-01-04 11:15:00,0.13111289835464954,-0.0,-0.5483706080162183,1.6422657639551699,1.0938951559389516,0.0,0.0,19
136,2007-01-04 11:20:00,0.13111289835464954,-0.0,-0.6650662369133551,1.8953250292159427,1.2302587923025876,0.0,0.0,19
137,2007-01-04 11:25:00,0.13111289835464954,-0.0,-0.29801933097306543,2.148384294476715,1.8503649635036497,0.0,0.0,19
138,2007-01-04 11:30:00,0.13111289835464954,-0.0,-1.072044347030027,2.25676564762724,1.184721300597213,0.0,0.0,19
139,2007-01-04 11:35:00,0.13111289835464954,-0.0,-1.1667395687936897,2.365147000777764,1.1984074319840743,0.0,0.0,19
140,2007-01-04 11:40:00,0.13111289835464954,-0.0,-1.3047327334903323,2.4735283539282884,1.1687956204379562,0.0,0.0,19
141,2007-01-04 11:45:00,0.13111289835464954,-0.0,-1.2526975340062658,2.418507089414361,1.1658095554080954,0.0,0.0,19
142,2007-01-04 11:50:00,0.13111289835464954,-0.0,-1.218329885948874,2.363485824900433,1.145155938951559,0.0,0.0,19
143,2007-01-04 11:55:00,0.13579033929927264,0.40090346336364746,-0.8788616942358645,2.308464560386506,1.028699402786994,0.0,0.004677440944623107,19
144,2007-01-04 12:00:00,0.13579033929927264,-0.0,-0.7502262082671933,2.2445029169599606,1.4942767086927673,0.0,0.0,19
