update,reward_total,energy_cost_total
504,-20.410554,20.410554
505,-18.773523,18.773523
506,-18.571565,18.571565
507,-20.658212,20.658212
508,-19.863440,19.863440
509,-19.340547,19.340547
510,-20.822151,20.822151
511,-18.193877,18.193877
512,-17.964398,17.964398
513,-18.022410,18.022410
514,-17.541336,17.541336
515,-16.959732,16.959732
516,-18.480899,18.480899
517,-17.137289,17.137289
518,-17.526512,17.526512
519,-18.969159,18.969159
520,-18.274454,18.274454
521,-19.680479,19.680479
522,-22.116011,22.116011
523,-18.939772,18.939772
524,-18.269419,18.269419
525,-17.256032,17.256032
526,-17.415903,17.415903
527,-19.738035,19.738035
528,-18.535125,18.535125
529,-20.173584,20.173584
530,-19.721828,19.721828
531,-17.965907,17.965907
532,-18.441368,18.441368
533,-16.913299,16.913299
534,-18.476234,18.476234
535,-18.952149,18.952149
536,-20.167413,20.167413
537,-19.182093,19.182093
538,-17.483130,17.483130
539,-18.325911,18.325911
540,-18.854836,18.854836
541,-21.458350,21.458350
542,-21.460685,21.460685
543,-19.832448,19.832448
544,-19.356790,19.356790
545,-17.936801,17.936801
546,-19.171565,19.171565
547,-17.738067,17.738067
548,-18.663041,18.663041
549,-18.856998,18.856998
550,-19.030235,19.030235
551,-17.564384,17.564384
552,-17.194025,17.194025
553,-17.743798,17.743798
554,-18.521181,18.521181
555,-18.111577,18.111577
556,-17.476481,17.476481
557,-19.121109,19.121109
558,-18.760459,18.760459
559,-17.753325,17.753325
560,-19.086001,19.086001
561,-18.886978,18.886978
562,-17.231460,17.231460
563,-18.484043,18.484043
564,-19.473933,19.473933
565,-18.577116,18.577116
566,-20.284155,20.284155
567,-19.544901,19.544901
568,-16.890253,16.890253
569,-16.533521,16.533521
570,-17.294394,17.294394
571,-17.906872,17.906872
572,-17.477789,17.477789
573,-16.577527,16.577527
574,-16.879237,16.879237
575,-16.800814,16.800814
576,-17.156551,17.156551
577,-18.230025,18.230025
578,-18.633168,18.633168
579,-17.957798,17.957798
580,-19.251462,19.251462
581,-21.118934,21.118934
582,-18.761731,18.761731
583,-20.569086,20.569086
584,-21.001782,21.001782
585,-20.162957,20.162957
586,-21.071633,21.071633
587,-19.178008,19.178008
588,-18.383535,18.383535
589,-17.627800,17.627800
590,-17.083897,17.083897
591,-16.739782,16.739782
592,-16.989892,16.989892
593,-17.537655,17.537655
594,-19.641453,19.641453
595,-19.089920,19.089920
596,-19.057274,19.057274
597,-19.320640,19.320640
598,-18.738368,18.738368
599,-19.899793,19.899793
600,-21.701114,21.701114
601,-20.515100,20.515100
602,-19.109671,19.109671
603,-19.715402,19.715402
604,-20.019355,20.019355
605,-19.547108,19.547108
606,-19.552454,19.552454
607,-19.128742,19.128742
608,-19.414317,19.414317
609,-17.139020,17.139020
610,-17.310920,17.310920
611,-16.735312,16.735312
612,-16.907797,16.907797
613,-17.609230,17.609230
614,-21.637246,21.637246
615,-19.924624,19.924624
616,-20.670495,20.670495
617,-18.667897,18.667897
618,-20.072869,20.072869
619,-18.828393,18.828393
620,-19.707613,19.707613
621,-18.652048,18.652048
622,-20.051772,20.051772
623,-18.620026,18.620026
624,-17.865780,17.865780
625,-17.516234,17.516234
626,-16.883669,16.883669
627,-16.850751,16.850751
628,-16.139142,16.139142
629,-15.823283,15.823283
630,-16.970433,16.970433
631,-17.119361,17.119361
632,-17.022901,17.022901
633,-17.678865,17.678865
634,-16.664531,16.664531
635,-15.933366,15.933366
636,-16.305991,16.305991
637,-17.813947,17.813947
638,-17.445877,17.445877
639,-18.060890,18.060890
640,-17.019875,17.019875
641,-18.937476,18.937476
642,-16.088176,16.088176
643,-17.013676,17.013676
644,-16.940332,16.940332
645,-15.594739,15.594739
646,-16.959803,16.959803
647,-17.085911,17.085911
648,-19.038302,19.038302
649,-19.045068,19.045068
650,-20.520120,20.520120
651,-17.634595,17.634595
652,-19.386327,19.386327
653,-17.919489,17.919489
654,-20.388155,20.388155
655,-18.690143,18.690143
656,-18.322051,18.322051
657,-20.668604,20.668604
658,-19.025021,19.025021
659,-18.442173,18.442173
660,-17.384927,17.384927
661,-16.994358,16.994358
662,-19.505726,19.505726
663,-18.818471,18.818471
664,-18.258607,18.258607
665,-17.377659,17.377659
666,-18.321826,18.321826
667,-17.600984,17.600984
668,-19.762597,19.762597
669,-22.567030,22.567030
670,-19.846706,19.846706
671,-18.424909,18.424909
672,-17.964842,17.964842
673,-16.418728,16.418728
674,-19.217596,19.217596
675,-16.212716,16.212716
676,-16.708242,16.708242
677,-16.980735,16.980735
678,-16.302647,16.302647
679,-16.816882,16.816882
