episode,reward,steps,last_soc,final_alpha,buffer_action_std,diff,q1_mean,q2_mean,q1q2_mean
16,-26.008763440522806,864,0.19333701461369465,0.1013462174186068,2.4897706508636475,0.3300000000000002,0.12674453854560852,0.17127257585525513,0.14900855720043182
17,-24.741870715257885,864,0.265274892787901,0.10135730765188929,2.5100507736206055,0.3300000000000002,0.1322275847196579,0.17971810698509216,0.15597284585237503
18,-24.264303793417128,864,0.12414545056059711,0.10136839255473223,2.574469566345215,0.3300000000000002,0.1372125893831253,0.18710067868232727,0.1621566340327263
19,-23.878906206966448,864,0.10817851807806132,0.10137947062462366,2.5198607444763184,0.3300000000000002,0.1351746767759323,0.1823447197675705,0.1587596982717514
20,-24.72453061814123,864,0.1450064014211334,0.10139051606558232,2.4818167686462402,0.3400000000000002,0.13702785968780518,0.18397849798202515,0.16050317883491516
21,-25.546543257615262,864,0.3632059396752044,0.10140152587813124,2.5606749057769775,0.3400000000000002,0.14125877618789673,0.18747176229953766,0.1643652692437172
22,-24.215881568468888,864,0.15280745726020173,0.10141256087656114,2.5890495777130127,0.3400000000000002,0.1450042426586151,0.19072285294532776,0.16786354780197144
23,-25.98356521396999,864,0.37770843892215344,0.10142357221402362,2.503978729248047,0.3400000000000002,0.14534106850624084,0.19270192086696625,0.16902149468660355
24,-24.29891133864601,864,0.1,0.10143457772357094,2.526414632797241,0.3400000000000002,0.1476530134677887,0.19178014993667603,0.16971658170223236
25,-25.532843385283126,864,0.25503353604269896,0.10144563007969486,2.4747891426086426,0.3500000000000002,0.1493280529975891,0.19708362221717834,0.17320583760738373
26,-24.93356605398607,864,0.1,0.10145665026578117,2.516292095184326,0.3500000000000002,0.14767858386039734,0.19638288021087646,0.1720307320356369
27,-25.88705896566808,864,0.775811682578853,0.10146767713091633,2.539524793624878,0.3500000000000002,0.1505565345287323,0.20084050297737122,0.17569851875305176
28,-25.83180637642952,864,0.2316188764377036,0.10147866468517087,2.5745623111724854,0.3500000000000002,0.1529863476753235,0.2009948492050171,0.1769905984401703
29,-25.44001397149316,864,0.3552874967895967,0.1014896573476288,2.571401834487915,0.3500000000000002,0.16036386787891388,0.20968249440193176,0.18502318114042282
30,-25.691326697932475,864,0.11317896679325347,0.10150062185226592,2.547088146209717,0.3600000000000002,0.15934275090694427,0.2112693041563034,0.18530602753162384
31,-23.95812002318176,864,0.22270231163324639,0.10151156728053767,2.529308795928955,0.3600000000000002,0.1584453582763672,0.20665766298770905,0.18255151063203812
32,-23.647886786053057,864,0.28722383322455697,0.10152249542752874,2.5169544219970703,0.3600000000000002,0.1593255251646042,0.2053127884864807,0.18231915682554245
33,-25.346404522102713,864,0.2623418201834493,0.1015334528397047,2.515636682510376,0.3600000000000002,0.16458900272846222,0.20779460668563843,0.18619180470705032
34,-24.17974381182856,864,0.12454046232664928,0.1015443974542074,2.5347816944122314,0.3600000000000002,0.16791468858718872,0.21593879163265228,0.1919267401099205
35,-25.82749382127497,864,0.47988464409072085,0.10155532827232742,2.5390000343322754,0.3700000000000002,0.16757121682167053,0.2131228744983673,0.19034704566001892
36,-25.8897327105464,864,0.14371460455898283,0.10156624682158032,2.527101755142212,0.3700000000000002,0.1662519872188568,0.2110404670238495,0.18864622712135315
37,-23.548249473977858,864,0.15471449438551946,0.10157715873046845,2.5051186084747314,0.3700000000000002,0.17338407039642334,0.22447289526462555,0.19892848283052444
38,-23.919192998785185,864,0.25079970748428204,0.10158806969606937,2.5947964191436768,0.3700000000000002,0.17413416504859924,0.21864143013954163,0.19638779759407043
39,-26.161487481847555,864,0.7611946646554799,0.10159898444119135,2.5477893352508545,0.3700000000000002,0.1769687831401825,0.222099170088768,0.19953397661447525
40,-24.85337055943981,864,0.2047352398704175,0.10160990187772631,2.506035566329956,0.3800000000000002,0.1793885976076126,0.2271747887134552,0.2032816931605339
41,-23.53497193067774,864,0.17398941678873384,0.10162079127985353,2.519915819168091,0.3800000000000002,0.18120712041854858,0.22649118304252625,0.20384915173053741
42,-25.328911840168963,864,0.28476380387582234,0.10163169166183583,2.522655487060547,0.3800000000000002,0.17921480536460876,0.22884738445281982,0.2040310949087143
